Tick;Step;DateTime;Area;Camp;Crop_YieldA;Crop_YieldB;Fire_Data;Harvest_Data;Latitude;Longitude;Patch_ID;Patch_Population;test_count;X;Y;ID
24;24;2000-06-17T00:00:00.0000000;11.7633;Hartman;2019358.8503852645;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;294830;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
25;25;2000-06-24T00:00:00.0000000;11.7633;Hartman;2019358.8503852645;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;321812;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
26;26;2000-07-01T00:00:00.0000000;11.7633;Hartman;2020371.8168457728;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;349071;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
27;27;2000-07-08T00:00:00.0000000;11.7633;Hartman;2020371.8168457728;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;376408;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
28;28;2000-07-15T00:00:00.0000000;11.7633;Hartman;2020371.8168457728;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;403702;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
29;29;2000-07-22T00:00:00.0000000;11.7633;Hartman;2020371.8168457728;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;430667;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
30;30;2000-07-29T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;457926;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
31;31;2000-08-05T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;484905;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
32;32;2000-08-12T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;512127;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
33;33;2000-08-19T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;539420;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
34;34;2000-08-26T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;566638;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
35;35;2000-09-02T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;593566;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
36;36;2000-09-09T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;620674;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
37;37;2000-09-16T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;647786;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
38;38;2000-09-23T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;674039;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
39;39;2000-09-30T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;700735;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
40;40;2000-10-07T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;727507;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
41;41;2000-10-14T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;754017;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
